,,scheme_name,category,return_3yr_pct,sharpe_ratio,expense_ratio_pct,risk_grade,morningstar_rating
Low,14,ICICI Pru Liquid Fund - Regular - Growth,Liquid,7.68,7.68,0.74,Low,5
Low,23,Kotak Liquid Fund - Regular - Growth,Liquid,6.18,6.18,0.6,Low,3
Low,30,ABSL Liquid Fund - Regular - Growth,Liquid,5.14,5.14,0.79,Low,5
Low,4,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,6.07,1.52,0.77,Low,5
Low,19,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,5.31,1.33,0.55,Low,4
Medium,22,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,15.65,0.98,1.45,Moderately High,5
Medium,33,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,15.34,0.96,1.64,Moderately High,5
Medium,5,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,14.84,1.06,1.55,Moderate,5
Medium,34,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,14.81,1.06,1.46,Moderate,5
Medium,11,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,14.41,1.03,0.8,Moderate,3
High,2,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,23.39,0.94,1.43,Very High,5
High,3,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,23.14,0.93,0.72,Very High,4
High,29,ABSL Small Cap Fund - Regular - Growth,Small Cap,22.38,0.9,1.53,Very High,5
High,27,Axis Small Cap Fund - Regular - Growth,Small Cap,20.98,0.84,1.38,Very High,4
High,17,Nippon India Small Cap Fund - Regular - Growth,Small Cap,20.15,0.81,1.53,Very High,4
